% time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (unitless)
1999047,87.55,4.263250229996629E-5,0.06251704692840576
1999047,87.65,4.357603029347956E-5,0.061174485832452774
1999047,87.75,4.45589394075796E-5,0.061761051416397095
1999047,87.85,4.540937879937701E-5,0.061276789754629135
1999047,87.95,4.6013792598387226E-5,0.05887975916266441
1999047,88.05,4.672282375395298E-5,0.058505792170763016
1999047,88.15,4.716118928627111E-5,0.05767820030450821
1999047,88.25,4.7642679419368505E-5,0.05651451274752617
1999047,88.35,4.823418930754997E-5,0.05614130198955536
1999047,88.45,4.895510573987849E-5,0.05460691079497337
1999047,88.55,4.927158443024382E-5,0.05417385697364807
1999047,88.65,5.0056631152983755E-5,0.0534895658493042
1999047,88.75,5.1352901209611446E-5,0.051650770008563995
1999047,88.85,5.2559109462890774E-5,0.050119709223508835
1999047,88.95,5.296179006109014E-5,0.04925134778022766
1999047,89.05,5.409544610301964E-5,0.04892141371965408
1999047,89.15,5.509887705557048E-5,0.0477387011051178
1999047,89.25,5.527366738533601E-5,0.04656808823347092
1999047,89.35,5.560884528676979E-5,0.04713352024555206
1999047,89.45,5.7419332733843476E-5,0.04529509320855141
1999047,89.55,6.03440566919744E-5,0.04167915880680084
1999047,89.65,5.807007983094081E-5,0.04569520801305771
1999047,89.75,5.916986629017629E-5,0.04474673420190811
1999047,89.85,5.9853875427506864E-5,0.04378833994269371
1999047,89.95,6.052850585547276E-5,0.0428948774933815
1999047,90.05,6.148984539322555E-5,0.04200156405568123
1999047,90.15,6.191049033077434E-5,0.041973408311605453
1999047,90.25,6.97211071383208E-5,0.03776194900274277
1999047,90.35,9.013872477225959E-5,0.032488979399204254
1999047,90.45,1.0224703146377578E-4,0.026210404932498932
1999047,90.55,7.218834798550233E-5,0.03737923130393028
1999047,90.65,7.144665869418532E-5,0.03739979863166809
1999047,90.75,7.125408592401072E-5,0.03763614967465401
1999047,90.85,7.113722676876932E-5,0.03752097859978676
1999047,90.95,7.141514652175829E-5,0.03730466216802597
1999047,91.05,7.276675023604184E-5,0.03925689309835434
1999047,91.15,7.482415094273165E-5,0.04198941960930824
1999047,91.25,7.29660241631791E-5,0.041350360959768295
1999047,91.35,7.26469443179667E-5,0.03984268382191658
1999047,91.45,6.0743914218619466E-5,0.043532393872737885
1999047,91.55,5.396406777435914E-5,0.04392798990011215
1999047,91.65,5.525893357116729E-5,0.04706146940588951
1999047,91.75,3.425457907724194E-5,0.07515566051006317
1999047,91.85,2.393674549239222E-5,0.11029743403196335
1999047,91.95,2.578143721621018E-5,0.10108047723770142
1999047,92.05,1.4077579180593602E-5,0.11843545734882355
1999047,92.15,1.970372068171855E-5,0.08363953232765198
